iso3,year_month,fx_rate,fx_mom_pct_change,fx_yoy_pct_change,fx_3m_pct_change,fx_6m_pct_change,fx_volatility_3m
HUN,2017-09-01,258.75,0.45812788756454115,-6.049163065974373,-5.744572344455767,-10.726607783604736,2.092010471972627
HUN,2017-10-01,263.7,1.9130434782608674,-5.184812311232568,-1.1026102610261046,-9.206720837350236,2.7464987855335568
HUN,2017-11-01,265.62,0.7281001137656506,-7.168070457484355,3.125363978724227,-5.304812834224593,0.7739245393913421
HUN,2017-12-01,264.71,-0.3425946841352445,-10.504428967475821,2.30338164251207,-3.5735101267667213,1.128301204390265
HUN,2018-01-01,253.61,-4.193268104718362,-12.842807065777716,-3.8263177853621433,-4.886738673867375,2.588240659989652
HUN,2018-02-01,252.19,-0.5599148298568779,-13.016935122270901,-5.056095173556208,-2.0887525721163147,2.1631832199203034
HUN,2018-03-01,253.31,0.44410959990484056,-12.603505382279867,-4.306599675116152,-2.1024154589372013,2.439760679890604
HUN,2018-04-01,253.58,0.10658876475464485,-12.691089381627874,-0.011829186546274961,-3.837694349639731,0.5109162376471417
HUN,2018-05-01,267.77,5.595867181954395,-4.538324420677364,6.177881755819015,0.8094270009788351,3.076434734122727
HUN,2018-06-01,276.36,3.207976995182449,0.6702608188838832,9.099522324424614,4.401042650447673,2.752356748965419
HUN,2018-07-01,278.0,0.5934288609060534,4.2604260426042595,9.630097010805262,9.61712866211899,2.5020748272324895
HUN,2018-08-01,279.59,0.5719424460431499,8.549132274721426,4.414236098143931,10.864824140528961,1.5157507357042563
HUN,2018-09-01,278.53,-0.37912657820380335,7.6444444444444315,0.7852077001013091,9.956180174489738,0.5554064633293355
HUN,2018-10-01,282.07,1.2709582450723511,6.966249525976487,1.464028776978421,11.235113179272815,0.8282446599265322
HUN,2018-11-01,283.79,0.6097777147516581,6.840599352458399,1.5021996494867684,5.982746386824522,0.8304488061993256
HUN,2018-12-01,283.74,-0.017618661686458204,7.188999282233399,1.8705345923240024,2.6704298740772847,0.6443622624315001
HUN,2019-01-01,280.2,-1.2476210615352201,10.484602342178917,-0.6629560038288407,0.7913669064748108,0.9448511638483525
HUN,2019-02-01,280.26,0.021413276231263545,11.13049684761489,-1.2438775150639625,0.23963661075145914,0.7216736966064696
HUN,2019-03-01,279.44,-0.292585456361949,10.315423789033208,-1.5154719109043535,0.32671525508922716,0.6609508758409327
HUN,2019-04-01,285.68,2.2330375035785943,12.658727028945505,1.9557458957887297,1.279824157124132,1.3765081585203658
HUN,2019-05-01,290.73,1.7677121254550565,8.574522911453863,3.735816741597109,2.4454702420804164,1.3441307704824057
HUN,2019-06-01,285.88,-1.6682144945482147,3.444782168186422,2.3046092184368705,0.7542116021709955,2.130801359366215
HUN,2019-07-01,289.91,1.4096823842171702,4.284172661870511,1.4806776813217626,3.4653818700927985,1.8888808957498175
HUN,2019-08-01,293.78,1.3348970370114621,5.075288815765933,1.0490833419323664,4.824091914650674,1.7558341282449021
HUN,2019-09-01,301.92,2.770780856423194,8.397659139051461,5.610745767454883,8.044660750071575,0.8082846282969434
HUN,2019-10-01,300.33,-0.5266295707472279,6.473570390328631,3.5942188955192744,5.128115373844855,1.6532775114629288
HUN,2019-11-01,302.16,0.6093297372889994,6.473096303604775,2.852474640887759,3.93148281911051,1.6750716410118573
HUN,2019-12-01,297.63,-1.49920571882447,4.8953267075491524,-1.4209062003179729,4.110116132643071,1.0553222006422722
HUN,2020-01-01,301.19,1.1961159829318335,7.491077801570301,0.28635167981887477,3.890862681521834,1.41745070130157
HUN,2020-02-01,309.27,2.682691988445818,10.351102547634339,2.353057982525808,5.272653005650496,2.1198638214989587
HUN,2020-03-01,312.11,0.9182914605361026,11.691239622101346,4.865100964284519,3.3750662427133094,0.9487012094000323
HUN,2020-04-01,328.07,5.113581750024032,14.838280593671227,8.924599090275231,9.236506509506203,2.106450207849913
