iso3,feature,country_raw,series_code,frequency,nonnull_count,indicator,bop_accounting_entry,unit
ZAF,bop_portfolio_liabilities_usd,South Africa,ZAF.L_NIL_T.P_F.USD.Q,Quarterly,264,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
ZAF,bop_current_account_balance_usd,South Africa,ZAF.NETCD_T.CAB.USD.Q,Quarterly,264,Current account balance (credit less debit),Net (credits less debits),US dollar
BRA,bop_other_investment_loans_liabilities_usd,Brazil,BRA.L_NIL_T.O_F4.USD.Q,Quarterly,204,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
BRA,bop_current_account_balance_usd,Brazil,BRA.NETCD_T.CAB.USD.Q,Quarterly,204,Current account balance (credit less debit),Net (credits less debits),US dollar
MYS,bop_other_investment_loans_liabilities_usd,Malaysia,MYS.L_NIL_T.O_F4.USD.Q,Quarterly,92,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
MYS,bop_workers_remittances_credit_usd,Malaysia,MYS.CD_T.D752W_S1W.USD.Q,Quarterly,8,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
LKA,bop_current_account_balance_usd,Sri Lanka,LKA.NETCD_T.CAB.USD.Q,Quarterly,193,Current account balance (credit less debit),Net (credits less debits),US dollar
GHA,bop_fdi_liabilities_usd,Ghana,GHA.L_NIL_T.D_F.USD.Q,Quarterly,58,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
LKA,bop_fdi_liabilities_usd,Sri Lanka,LKA.L_NIL_T.D_F.USD.Q,Quarterly,193,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PER,bop_fdi_liabilities_usd,Peru,PER.L_NIL_T.D_F.USD.Q,Quarterly,171,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
PER,bop_reserve_assets_usd,Peru,PER.A_T.R_AFR.USD.Q,Quarterly,171,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
LKA,bop_workers_remittances_credit_usd,Sri Lanka,LKA.CD_T.D752W_S1W.USD.Q,Quarterly,193,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
LKA,bop_reserve_assets_usd,Sri Lanka,LKA.A_T.R_AFR.USD.Q,Quarterly,193,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
MYS,bop_reserve_assets_usd,Malaysia,MYS.A_T.R_AFR.USD.Q,Quarterly,104,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
NGA,bop_other_investment_loans_liabilities_usd,Nigeria,NGA.L_NIL_T.O_F4.USD.Q,Quarterly,67,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
MYS,bop_fdi_liabilities_usd,Malaysia,MYS.L_NIL_T.D_F.USD.Q,Quarterly,104,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
LBN,bop_fdi_liabilities_usd,Lebanon,LBN.L_NIL_T.D_F.USD.Q,Quarterly,88,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
NGA,bop_fdi_liabilities_usd,Nigeria,NGA.L_NIL_T.D_F.USD.Q,Quarterly,67,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
NGA,bop_portfolio_liabilities_usd,Nigeria,NGA.L_NIL_T.P_F.USD.Q,Quarterly,67,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
NGA,bop_workers_remittances_credit_usd,Nigeria,NGA.CD_T.D752W_S1W.USD.Q,Quarterly,67,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
JAM,bop_fdi_liabilities_usd,Jamaica,JAM.L_NIL_T.D_F.USD.Q,Quarterly,55,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JAM,bop_reserve_assets_usd,Jamaica,JAM.A_T.R_AFR.USD.Q,Quarterly,55,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
MYS,bop_portfolio_liabilities_usd,Malaysia,MYS.L_NIL_T.P_F.USD.Q,Quarterly,104,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
MYS,bop_current_account_balance_usd,Malaysia,MYS.NETCD_T.CAB.USD.Q,Quarterly,104,Current account balance (credit less debit),Net (credits less debits),US dollar
JAM,bop_current_account_balance_usd,Jamaica,JAM.NETCD_T.CAB.USD.Q,Quarterly,55,Current account balance (credit less debit),Net (credits less debits),US dollar
RUS,bop_reserve_assets_usd,Russian Federation,RUS.A_T.R_AFR.USD.Q,Quarterly,112,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
ZMB,bop_reserve_assets_usd,Zambia,ZMB.A_T.R_AFR.USD.Q,Quarterly,83,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
ZAF,bop_workers_remittances_credit_usd,South Africa,ZAF.CD_T.D752W_S1W.USD.Q,Quarterly,56,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
NGA,bop_current_account_balance_usd,Nigeria,NGA.NETCD_T.CAB.USD.Q,Quarterly,67,Current account balance (credit less debit),Net (credits less debits),US dollar
ZMB,bop_other_investment_loans_liabilities_usd,Zambia,ZMB.L_NIL_T.O_F4.USD.Q,Quarterly,83,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
ZMB,bop_workers_remittances_credit_usd,Zambia,ZMB.CD_T.D752W_S1W.USD.Q,Quarterly,12,"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",Credit/Revenue,US dollar
ZMB,bop_fdi_liabilities_usd,Zambia,ZMB.L_NIL_T.D_F.USD.Q,Quarterly,83,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JOR,bop_other_investment_loans_liabilities_usd,Jordan,JOR.L_NIL_T.O_F4.USD.Q,Quarterly,193,"Other investment, Loans","Liabilities, Net incurrence of liabilities",US dollar
ZMB,bop_portfolio_liabilities_usd,Zambia,ZMB.L_NIL_T.P_F.USD.Q,Quarterly,83,"Portfolio investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
JOR,bop_reserve_assets_usd,Jordan,JOR.A_T.R_AFR.USD.Q,Quarterly,193,"Reserve assets, Adjusted using IMF accounting records",Assets,US dollar
JOR,bop_fdi_liabilities_usd,Jordan,JOR.L_NIL_T.D_F.USD.Q,Quarterly,193,"Direct investment, Total financial assets/liabilities","Liabilities, Net incurrence of liabilities",US dollar
