iso3,year_month,bop_current_account_balance_usd,bop_fdi_liabilities_usd,bop_other_investment_loans_liabilities_usd,bop_portfolio_liabilities_usd,bop_reserve_assets_usd,bop_workers_remittances_credit_usd,bop_total_liability_inflows_usd,bop_current_account_balance_usd_3m_change,bop_reserve_assets_usd_3m_change,bop_total_liability_inflows_usd_3m_change,bop_reserve_assets_3m_pct_change
ROU,2010-06-01,-3296.913799219582,1187.655196878326,-568.2866264632848,-118.2790249835301,-1690.353484621611,789.337657730705,501.08954543151117,-993.646323720041,-5791.3876195952225,-6071.31295731568,-141.2177375020188
ROU,2010-07-01,-1457.050095579088,1805.382771490123,3632.005340291896,-605.0307977061019,2594.380385740867,827.7452438025306,4832.357314075917,1839.863703640494,4284.733870362478,4331.267768644406,-253.48152971220833
ROU,2010-08-01,-1457.050095579088,1805.382771490123,3632.005340291896,-605.0307977061019,2594.380385740867,827.7452438025306,4832.357314075917,1839.863703640494,4284.733870362478,4331.267768644406,-253.48152971220833
ROU,2010-09-01,-1457.050095579088,1805.382771490123,3632.005340291896,-605.0307977061019,2594.380385740867,827.7452438025306,4832.357314075917,1839.863703640494,4284.733870362478,4331.267768644406,-253.48152971220833
ROU,2010-10-01,-1421.219486420797,-38.99397654020924,-797.632885976963,465.0745006868858,-486.076026727488,913.9807671985628,-371.5523618302865,35.830609158291054,-3080.456412468355,-5203.909675906204,-118.73572701208505
ROU,2010-11-01,-1421.219486420797,-38.99397654020924,-797.632885976963,465.0745006868858,-486.076026727488,913.9807671985628,-371.5523618302865,35.830609158291054,-3080.456412468355,-5203.909675906204,-118.73572701208505
ROU,2010-12-01,-1421.219486420797,-38.99397654020924,-797.632885976963,465.0745006868858,-486.076026727488,913.9807671985628,-371.5523618302865,35.830609158291054,-3080.456412468355,-5203.909675906204,-118.73572701208505
ROU,2011-01-01,-1026.497919406653,172.37661973653,1529.397813759945,1142.601496302365,1477.521202308977,639.7016019490738,2844.37592979884,394.72156701414406,1963.597229036465,3215.9282916291263,-403.9691573057828
ROU,2011-02-01,-1026.497919406653,172.37661973653,1529.397813759945,1142.601496302365,1477.521202308977,639.7016019490738,2844.37592979884,394.72156701414406,1963.597229036465,3215.9282916291263,-403.9691573057828
ROU,2011-03-01,-1026.497919406653,172.37661973653,1529.397813759945,1142.601496302365,1477.521202308977,639.7016019490738,2844.37592979884,394.72156701414406,1963.597229036465,3215.9282916291263,-403.9691573057828
ROU,2011-04-01,-4188.006407726418,650.1752838204909,907.1808325401064,3281.173821187287,2706.452079686702,817.3333642885335,4838.529937547884,-3161.508488319765,1228.9308773777248,1994.1540077490445,83.17517714515562
ROU,2011-05-01,-4188.006407726418,650.1752838204909,907.1808325401064,3281.173821187287,2706.452079686702,817.3333642885335,4838.529937547884,-3161.508488319765,1228.9308773777248,1994.1540077490445,83.17517714515562
ROU,2011-06-01,-4188.006407726418,650.1752838204909,907.1808325401064,3281.173821187287,2706.452079686702,817.3333642885335,4838.529937547884,-3161.508488319765,1228.9308773777248,1994.1540077490445,83.17517714515562
ROU,2011-07-01,-2261.208145747376,392.5754676282867,44.13570346116833,-744.6655531342986,-1885.725400190051,861.1439885844497,-307.95438204484367,1926.7982619790419,-4592.177479876753,-5146.484319592728,-169.6751815538645
ROU,2011-08-01,-2261.208145747376,392.5754676282867,44.13570346116833,-744.6655531342986,-1885.725400190051,861.1439885844497,-307.95438204484367,1926.7982619790419,-4592.177479876753,-5146.484319592728,-169.6751815538645
ROU,2011-09-01,-2261.208145747376,392.5754676282867,44.13570346116833,-744.6655531342986,-1885.725400190051,861.1439885844497,-307.95438204484367,1926.7982619790419,-4592.177479876753,-5146.484319592728,-169.6751815538645
ROU,2011-10-01,-1800.832970721701,1154.969851432834,137.6888170572512,-1156.523901286753,-907.0256256599704,873.6868278734382,136.13476720333225,460.37517502567493,978.6997745300806,444.0891492481759,-51.90043971574245
