iso3,year_month,cpi_index,cpi_mom_pct,cpi_yoy_pct,cpi_yoy_acceleration
ZAF,2016-03-01,66.8,0.9063444108761143,6.539074960127578,1.3442697653223812
ZAF,2016-04-01,67.4,0.8982035928143839,6.477093206951046,0.29823141833316136
ZAF,2016-05-01,67.5,0.14836795252224366,6.466876971608837,-0.4798112351763084
ZAF,2016-06-01,67.9,0.5925925925926112,6.593406593406592,0.05433163327901447
ZAF,2016-07-01,68.5,0.8836524300441795,6.53188180404356,0.05478859709251438
ZAF,2016-08-01,68.4,-0.14598540145984717,6.3763608087091805,-0.09051616289965647
ZAF,2016-09-01,68.5,0.14619883040933868,6.53188180404356,-0.061524789363032184
ZAF,2016-10-01,68.8,0.43795620437956373,6.666666666666665,0.13478486262310518
ZAF,2016-11-01,69.1,0.43604651162789665,6.965944272445812,0.5895834637366315
ZAF,2016-12-01,69.3,0.28943560057888007,6.944444444444442,0.412562640400882
ZAF,2017-01-01,69.8,0.721500721500723,6.891271056661563,0.22460438999489796
ZAF,2017-02-01,70.5,1.002865329512903,6.495468277945604,-0.47047599450020794
ZAF,2017-03-01,70.9,0.5673758865248235,6.137724550898227,-0.806719893546215
ZAF,2017-04-01,71.0,0.14104372355430161,5.3412462908011715,-1.5500247658603916
ZAF,2017-05-01,71.1,0.14084507042253502,5.333333333333323,-1.1621349446122808
ZAF,2017-06-01,71.3,0.2812939521800395,5.00736377025035,-1.1303607806478766
ZAF,2017-07-01,71.4,0.14025245441795509,4.233576642335768,-1.1076696484654036
ZAF,2017-08-01,71.5,0.1400560224089631,4.532163742690054,-0.8011695906432692
ZAF,2017-09-01,71.8,0.41958041958041203,4.817518248175179,-0.18984552207517158
ZAF,2017-10-01,72.1,0.41782729805013297,4.796511627906974,0.5629349855712062
ZAF,2017-11-01,72.1,0.0,4.341534008683068,-0.19062973400698624
ZAF,2017-12-01,72.4,0.41608876560335073,4.473304473304496,-0.34421377487068305
ZAF,2018-01-01,72.8,0.5524861878452914,4.297994269340966,-0.49851735856600854
ZAF,2018-02-01,73.2,0.5494505494505475,3.8297872340425476,-0.5117467746405202
ZAF,2018-03-01,73.5,0.4098360655737654,3.667136812411842,-0.8061676608926538
ZAF,2018-04-01,74.0,0.6802721088435382,4.225352112676051,-0.07264215666491491
ZAF,2018-05-01,74.2,0.2702702702702675,4.360056258790457,0.5302690247479092
ZAF,2018-06-01,74.4,0.26954177897573484,4.347826086956541,0.6806892745446991
ZAF,2018-07-01,75.0,0.8064516129032251,5.042016806722671,0.8166646940466205
ZAF,2018-08-01,74.9,-0.13333333333332975,4.7552447552447585,0.39518849645430176
ZAF,2018-09-01,75.3,0.5340453938584622,4.874651810584951,0.5268257236284102
ZAF,2018-10-01,75.7,0.5312084993359889,4.9930651872399645,-0.048951619482706654
ZAF,2018-11-01,75.8,0.13210039630118242,5.131761442441052,0.3765166871962933
ZAF,2018-12-01,75.7,-0.13192612137202797,4.558011049723754,-0.31664076086119763
ZAF,2019-01-01,75.6,-0.13210039630120463,3.8461538461538325,-1.146911341086132
ZAF,2019-02-01,76.2,0.793650793650813,4.098360655737698,-1.0334007867033534
ZAF,2019-03-01,76.8,0.7874015748031482,4.489795918367334,-0.06821513135641943
ZAF,2019-04-01,77.2,0.5208333333333481,4.324324324324325,0.4781704781704921
ZAF,2019-05-01,77.5,0.38860103626943143,4.447439353099725,0.34907869736202635
ZAF,2019-06-01,77.7,0.2580645161290418,4.435483870967727,-0.054312047399607266
ZAF,2019-07-01,78.0,0.38610038610038533,4.0000000000000036,-0.324324324324321
ZAF,2019-08-01,78.2,0.2564102564102555,4.4058744993324295,-0.04156485376729524
ZAF,2019-09-01,78.4,0.2557544757033181,4.116865869853936,-0.3186180011137907
ZAF,2019-10-01,78.4,0.0,3.566710700132103,-0.43328929986790055
ZAF,2019-11-01,78.5,0.12755102040815647,3.5620052770448662,-0.8438692222875632
ZAF,2019-12-01,78.7,0.2547770700636942,3.9630118890356725,-0.15385398081826374
ZAF,2020-01-01,78.9,0.2541296060991183,4.365079365079372,0.7983686649472688
ZAF,2020-02-01,79.6,0.8871989860582907,4.461942257217832,0.8999369801729662
ZAF,2020-03-01,80.0,0.5025125628140836,4.166666666666674,0.2036547776310016
ZAF,2020-04-01,79.5,-0.6249999999999978,2.979274611398952,-1.3858047536804197
ZAF,2020-05-01,79.0,-0.6289308176100628,1.9354838709677358,-2.5264583862500967
ZAF,2020-06-01,79.4,0.5063291139240533,2.187902187902191,-1.9787644787644831
ZAF,2020-07-01,80.5,1.3853904282115748,3.205128205128216,0.22585359372926384
ZAF,2020-08-01,80.6,0.1242236024844745,3.069053708439884,1.1335698374721481
ZAF,2020-09-01,80.7,0.12406947890819531,2.933673469387754,0.7457712814855633
ZAF,2020-10-01,81.0,0.3717472118959009,3.316326530612246,0.11119832548402986
ZAF,2020-11-01,81.0,0.0,3.1847133757961776,0.11565966735629374
ZAF,2020-12-01,81.1,0.12345679012344402,3.0495552731893083,0.1158818038015541
ZAF,2021-01-01,81.4,0.36991368680643344,3.168567807351086,-0.1477587232611599
